Organisation.1,Relationship,Organisation.2
Viva,receives transaction funding from,Girls’ Education Challenge – Fund Manager PwC
International Organization for Migration (IOM),receives transaction funding from,Norwegian Refugee Council
War Child Holland,receives activity funding from,United Nations Children's Fund (UNICEF)
Sightsavers,receives transaction funding from,The Fred Hollows Foundation (UK)
Uganda Martyrs University,has project implemented by,International Network for Advancing Science and Policy
Action Against Hunger UK,has project implemented by,Concern Worldwide UK
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Itad
Rainforest Foundation UK,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Yamaan Foundation for Health and Social Development,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
MannionDaniels,provides transaction funding to,Youth Net and Counselling - YONECO
partos,receives activity funding from,Stichting Woord en Daad
Wereldsolidariteit-Solidarité Mondiale (WSM),receives transaction funding from,Belgian Development Cooperation
Oxfam Intermón,receives activity funding from,Oxfam America
The MENTOR Initiative,provides transaction funding to,Oxfam Intermón
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,Saferworld
Disasters Emergency Committee,has project implemented by,Save the Children UK
MannionDaniels,receives transaction funding from,Palladium International Ltd (UK)
Sightsavers,has project implemented by,Institute of Development Studies
UNITAID,has project implemented by,Population Service International
British Council,has project implemented by,The Asia Foundation
Concern Worldwide,has project implemented by,Christian Blind Mission (UK) Ltd.
HelpAge International,receives activity funding from,Trocaire (Northern Ireland)
The National Association of Municipalities of Benin (ANCB),has project implemented by,Commune de Zè - Bénin
Institute for Security Studies,receives activity funding from,Netherlands - Ministry of Foreign Affairs
United Nations Children's Fund (UNICEF),receives activity funding from,United States Agency for International Development (USAID)
IMC WORLDWIDE,provides transaction funding to,Itad
Forum Universitaire pour la Coopération Internationale au Développement -FUCID ASBL,has project implemented by,Louvain Coopération
Options Consultancy Services,has project implemented by,Amref Health Africa - UK
Oxfam Novib,provides transaction funding to,TEAR fund Nederland
The William and Flora Hewlett Foundation,has project implemented by,World Resources Institute
Action Against Hunger UK,has project implemented by,Action Against Hunger USA
BRAC UK,has project implemented by,BRAC International
Solidaridad Europe,receives activity funding from,UNICEF Netherlands National Committee
Plan International Netherlands,receives activity funding from,VEI (Vitens-Evides International)
CARE Nederland,receives transaction funding from,Giro555 (Stichting Samenwerkende Hulporganisaties)
War Child Holland,receives transaction funding from,ICCO Cooperation
Simavi,provides transaction funding to,Kisumu Medical and Education Trust
War Child Holland,receives activity funding from,United Nations High Commissioner for Refugees (UNHCR)
Save the Children Netherlands,receives transaction funding from,Stichting Vluchteling
Charity Projects Ltd (Comic Relief),is accountable to,Farm Africa
Adam Smith International,receives activity funding from,Germany - Ministry for Economic Cooperation and Development
International IDEA,has project implemented by,Canada - Global Affairs Canada | Affaires mondiales Canada
United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS),receives activity funding from,Germany - Ministry for Economic Cooperation and Development
MannionDaniels,has project implemented by,Voluntary Service Overseas (VSO)
Dorcas Aid International,receives transaction funding from,Cordaid
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,SPARK
SOS Kinderdorpen België / SOS Villages d'Enfants Belgique,receives activity funding from,Belgian Development Cooperation
The National Association of Municipalities of Benin (ANCB),provides transaction funding to,Commune de Lalo - Bénin
Options Consultancy Services,provides transaction funding to,MannionDaniels
Enhanced Integrated Framework,has project implemented by,United Nations Office for Project Services (UNOPS)
MannionDaniels,has project implemented by,Palladium International Ltd (UK)
International Development Law Organization (IDLO),receives activity funding from,"Sweden, through Swedish International Development Cooperation Agency (Sida)"
The National Association of Municipalities of Benin (ANCB),plans to provide transaction funding to,Commune de Allada - Bénin
Options Consultancy Services,receives transaction funding from,MSI Reproductive Choices
Finland - Ministry for Foreign Affairs,has budget/direction managed by,"Gavi, the vaccine alliance"
Switzerland - Swiss Agency for Development and Cooperation (SDC),has project implemented by,Asian Development Bank
UK - Department of Health and Social Care (DHSC),provides transaction funding to,Overseas Development Institute
United Nations Children's Fund (UNICEF),receives activity funding from,Australia - Department of  Foreign Affairs and Trade
MannionDaniels,has project implemented by,ActionAid International
Concern Worldwide UK,receives transaction funding from,Mercy Corps Europe
Options Consultancy Services,provides transaction funding to,Amref Health Africa in Kenya
International Labour Organization (ILO),receives activity funding from,"Denmark - Ministry of Foreign Affairs, Danida"
FONCABA ASBL KBA VZW,has project implemented by,Benelux Afro Center
ZOA,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
VETERINAIRES SANS FRONTIERES / DIERENARTSEN ZONDER GRENZEN - BELGIUM,receives transaction funding from,Belgian Development Cooperation
Norwegian Refugee Council,has project implemented by,Concern Worldwide
Plan International UK,receives transaction funding from,Charity Projects Ltd (Comic Relief)
CINI,receives transaction funding from,Simavi
INTOSAI Development Initiative,receives activity funding from,"Sweden, through Swedish International Development Cooperation Agency (Sida)"
PATH,provides transaction funding to,Development Initiatives Poverty Research
Netherlands - Ministry of Foreign Affairs,has project implemented by,IUCN Nederlands Comité
FHI360,receives activity funding from,MSI Reproductive Choices
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Norwegian Refugee Council
Plan International UK,is accountable to,War Child Holland
Auto-Développement Afrique (ADA),receives transaction funding from,Belgian Development Cooperation
MannionDaniels,has project implemented by,Camfed International
People in Need,receives activity funding from,Oxfam GB
MannionDaniels,has project implemented by,Wellfound
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,HelpAge International
Carbon Trust Advisory Ltd,has project implemented by,CLASP
Enhanced Integrated Framework,has project implemented by,The World Bank
Charity Projects Ltd (Comic Relief),provides transaction funding to,Pump Aid
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Energy Saving Trust
Sightsavers,receives transaction funding from,Bill & Melinda Gates Foundation
World Vegetable Center,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
MannionDaniels,provides transaction funding to,MAMTA - Health Institute for Mother and Child
The Open University,receives transaction funding from,Plan International UK
United Nations Central Emergency Response Fund (CERF),is accountable to,UN Women
Instiglio,plans to receive transaction funding from,"UK - Foreign, Commonwealth and Development Office"
KPMG East Africa,has project implemented by,Christian Aid
Ministère de l'Economie et des Finances du Bénin,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
WYG International B.V.,receives transaction funding from,HTSPE
Slovenia - Ministry of Foreign Affairs,has project implemented by,The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA)
GOAL,is accountable to,Concern Worldwide
Giro555 (Stichting Samenwerkende Hulporganisaties),has project implemented by,Save the Children Netherlands
UK - Department of Health and Social Care (DHSC),has project implemented by,Oxford Policy Management
International Organization for Migration (IOM),receives activity funding from,Oxfam Novib
Christian Blind Mission (UK) Ltd.,is accountable to,The Fred Hollows Foundation (UK)
Solidaridad Europe,provides transaction funding to,Solidaridad West Africa
Simprints,provides transaction funding to,BRAC International
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Helvetas Swiss Intercooperation
Norwegian Refugee Council,has project implemented by,The International Rescue Committee
Integrity Action,receives activity funding from,The William and Flora Hewlett Foundation
"UK - Foreign, Commonwealth and Development Office",has project implemented by,The HALO Trust
"UK - Foreign, Commonwealth and Development Office",has project implemented by,BasicNeeds
International Medical Corps UK,is accountable to,The MENTOR Initiative
MannionDaniels,provides transaction funding to,Christian Aid
Oxfam Intermón,receives activity funding from,Oxfam Solidarité-Solidariteit
Ireland - Department of Foreign Affairs and Trade,provides transaction funding to,Restless Development
DCAF - Geneva Centre for Security Sector Governance,receives transaction funding from,France - Ministry for Europe and Foreign Affairs
Rikolto in Belgium,receives activity funding from,Belgian Development Cooperation
RedR UK,receives activity funding from,Danish Refugee Council
CARE Nepal,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
GEMS Education Solutions,receives transaction funding from,PwC
CGIAR,receives activity funding from,Japan International Cooperation Agency (JICA)
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,UTZ
United Nations Central Emergency Response Fund (CERF),provides transaction funding to,United Nations Development Programme (UNDP)
World Vegetable Center,receives activity funding from,Germany - Ministry for Economic Cooperation and Development
International Organization for Migration (IOM),receives transaction funding from,Switzerland - Swiss Agency for Development and Cooperation (SDC)
TEAR fund Nederland,receives transaction funding from,CARE Nederland
Damiaanactie / Action Damien,receives activity funding from,Belgian Development Cooperation
Mercy Corps Europe,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
HelpAge International UK,has project implemented by,HelpAge International
United Nations Children's Fund (UNICEF),receives activity funding from,Danish Red Cross
World Bank Trust Funds,receives activity funding from,Belgian development agency (Enabel)
The Queen Elizabeth Diamond Jubilee Trust,has project implemented by,Sightsavers
Options Consultancy Services,provides transaction funding to,"The Population Council, Inc."
The HALO Trust,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
Rutgers,receives activity funding from,Netherlands - Ministry of Foreign Affairs
"UK - Department for Business, Energy and Industrial Strategy (BEIS)",has project implemented by,African Development Bank
Options Consultancy Services,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
IMA World Health,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Y Care International,provides transaction funding to,YWCA of Bangladesh
Development Initiatives Poverty Research,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Oxfam Novib,has project implemented by,Save the Children Netherlands
Crown Agents Limited,provides transaction funding to,World Vision International
"UK - Department for Business, Energy and Industrial Strategy (BEIS)",plans to receive transaction funding from,Department for International Trade
"Denmark - Ministry of Foreign Affairs, Danida",provides transaction funding to,The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA)
Stichting Vluchteling,receives activity funding from,Oxfam Novib
World Bank Trust Funds,receives activity funding from,Inter-American Development Bank
International Alert,receives transaction funding from,Australia - Department of  Foreign Affairs and Trade
CGIAR,receives transaction funding from,The University of Manchester
Amref Health Africa - UK,receives activity funding from,Charity Projects Ltd (Comic Relief)
ActionAid Rwanda,has budget/direction managed by,MannionDaniels
United Nations Development Programme (UNDP),receives transaction funding from,Ireland - Department of Foreign Affairs and Trade
Save the Children Netherlands,provides transaction funding to,Save the Children DK
World Waternet,has project implemented by,United States Agency for International Development (USAID)
Wageningen University & Research - Stichting Wageningen Research,has project implemented by,Nuffic
TEAR fund Nederland,receives activity funding from,SOS Children's Villages The Netherlands
British Red Cross,provides transaction funding to,Red Cross Red Crescent Climate Centre
ECDPM,receives activity funding from,Netherlands Red Cross
World Vision UK,has project implemented by,World Vision International
Ethiopian Public Health Association,receives transaction funding from,Guttmacher Institute
United Nations High Commissioner for Refugees (UNHCR),receives transaction funding from,United Nations Central Emergency Response Fund (CERF)
ULB-Coopération,has project implemented by,Forum Universitaire pour la Coopération Internationale au Développement -FUCID ASBL
Practical Action,receives activity funding from,Helvetas Swiss Intercooperation
CARE International UK,receives activity funding from,Charity Projects Ltd (Comic Relief)
Cordaid,receives activity funding from,International Organization for Migration (IOM)
MannionDaniels,has project implemented by,Lepra
UNICEF Netherlands National Committee,is accountable to,Solidaridad Europe
United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS),receives activity funding from,Finland - Ministry for Foreign Affairs
United Nations Central Emergency Response Fund (CERF),provides transaction funding to,World Health Organization
International Rescue Committee UK,receives activity funding from,Action Against Hunger UK
Cordaid,receives transaction funding from,Norwegian Refugee Council
BBC Media Action,receives activity funding from,Mott MacDonald Limited
Charity Projects Ltd (Comic Relief),is accountable to,Link Community Development International
IMC WORLDWIDE,has project implemented by,Maxwell Stamp PLC
Relief International UK,is accountable to,Norwegian Refugee Council
Options Consultancy Services,provides transaction funding to,BBC Media Action
Railway Children Africa,is accountable to,Railway Children
Charity Projects Ltd (Comic Relief),provides transaction funding to,The MENTOR Initiative
Concern Worldwide,provides transaction funding to,Catholic Relief Services
Oxfam Novib,receives transaction funding from,CARE Nederland
United Nations High Commissioner for Refugees (UNHCR),receives activity funding from,Switzerland - Swiss Agency for Development and Cooperation (SDC)
Ireland - Department of Foreign Affairs and Trade,provides transaction funding to,ECDPM
Terre des Hommes Netherlands,receives activity funding from,SOS Children's Villages The Netherlands
ACTIONAID INTERNATIONAL KENYA,has budget/direction managed by,Girls’ Education Challenge – Fund Manager PwC
International Centre of Insect Physiology and Ecology (icipe),receives activity funding from,United Nations Office for Project Services (UNOPS)
People in Need,receives activity funding from,International Organization for Migration (IOM)
UN Pooled Funds,provides transaction funding to,United Nations High Commissioner for Refugees (UNHCR)
International Rescue Committee UK,receives transaction funding from,Girls’ Education Challenge – Fund Manager PwC
Health Poverty Action,receives transaction funding from,inHive
OCHA Country Based Pooled Funds,receives activity funding from,United States
Netherlands Red Cross,receives activity funding from,European Commission - Humanitarian Aid & Civil Protection
Belgian Development Cooperation,provides transaction funding to,Académie de recherche et d'enseignement supérieur
Adam Smith International,receives activity funding from,Norad - Norwegian Agency for Development Cooperation
Practical Action,receives activity funding from,United Nations Children's Fund (UNICEF)
United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS),receives activity funding from,Norad - Norwegian Agency for Development Cooperation
"UK - Foreign, Commonwealth and Development Office",has project implemented by,MSI Reproductive Choices
IRC,has project implemented by,Akvo Foundation
Entraide et Fraternité,has project implemented by,Agency for Cooperation and Research in Development (ACORD)
Amref Flying Doctors,provides transaction funding to,Amref Health Africa in Kenya
Amref Flying Doctors,provides transaction funding to,Wemos Foundation
Aqua for All,provides transaction funding to,Akvo Foundation
Netherlands - Ministry of Foreign Affairs,has project implemented by,"The Global Fund to Fight AIDS, Tuberculosis and Malaria"
Handicap International UK,receives transaction funding from,International Planned Parenthood Federation
Mercy Corps Netherlands,receives transaction funding from,Mercy Corps Europe
United Nations Capital Development Fund,receives activity funding from,United Nations World Food Programme (WFP)
PwC,has project implemented by,University of Nottingham
Social Development Direct Limited,receives activity funding from,Christian Aid
SNV Netherlands Development Organisation,receives activity funding from,FMO
European Commission - Humanitarian Aid & Civil Protection,has project implemented by,British Red Cross
Amref Flying Doctors,receives transaction funding from,Plan International Netherlands
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Switzerland - Swiss Agency for Development and Cooperation (SDC)
Oxfam Novib,receives activity funding from,SOS Children's Villages The Netherlands
Amref Flying Doctors,receives transaction funding from,WASTE advisers on urban environment and development
Netherlands Enterprise Agency,receives activity funding from,Netherlands - Ministry of Foreign Affairs
ICCO Cooperation,receives transaction funding from,Terre des Hommes Netherlands
OCHA Country Based Pooled Funds,receives transaction funding from,United States
